id|custom_title|stubhub_title|vividseats_title
703114|Boston Red Sox at New York Yankees (Sunday July 29, 2012)|New York Yankees vs Boston Red Sox [7/29/2012] Tickets at StubHub!|Boston Red Sox at New York Yankees
703115|Toronto Blue Jays at New York Yankees (Monday July 16, 2012)|New York Yankees vs Toronto Blue Jays [7/16/2012] Tickets at StubHub!|Toronto Blue Jays at New York Yankees
703116|Atlanta Braves at New York Yankees (Wednesday June 20, 2012)|New York Yankees vs Atlanta Braves [6/20/2012] Tickets at StubHub!|Atlanta Braves at New York Yankees
703117|Atlanta Braves at New York Yankees (Monday June 18, 2012)|New York Yankees vs Atlanta Braves [6/18/2012] Tickets at StubHub!|Atlanta Braves at New York Yankees
703118|Cleveland Indians at New York Yankees (Monday June 25, 2012)|New York Yankees vs Cleveland Indians [6/25/2012] Tickets at StubHub!|Cleveland Indians at New York Yankees
703119|Boston Red Sox at New York Yankees (Saturday July 28, 2012)|New York Yankees vs Boston Red Sox [7/28/2012] Tickets at StubHub!|Boston Red Sox at New York Yankees
703120|Toronto Blue Jays at New York Yankees (Wednesday July 18, 2012)|New York Yankees vs Toronto Blue Jays [7/18/2012] Tickets at StubHub!|Toronto Blue Jays at New York Yankees
703121|Los Angeles Angels at New York Yankees (Friday July 13, 2012)|New York Yankees vs Los Angeles Angels [7/13/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at New York Yankees
703122|Los Angeles Angels at New York Yankees (Sunday July 15, 2012)|New York Yankees vs Los Angeles Angels [7/15/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at New York Yankees
703123|Detroit Tigers at New York Yankees (Saturday April 28, 2012)|New York Yankees vs Detroit Tigers [4/28/2012] Tickets at StubHub!|Detroit Tigers at New York Yankees
703124|Chicago White Sox at New York Yankees (Sunday July 1, 2012)|New York Yankees vs Chicago White Sox [7/1/2012] Tickets at StubHub!|Chicago White Sox at New York Yankees
703125|Boston Red Sox at New York Yankees (Friday August 17, 2012)|New York Yankees vs Boston Red Sox [8/17/2012] Tickets at StubHub!|Boston Red Sox at New York Yankees
703126|Baltimore Orioles at New York Yankees (Monday April 30, 2012)|New York Yankees vs Baltimore Orioles [4/30/2012] Tickets at StubHub!|Baltimore Orioles at New York Yankees
703127|Boston Red Sox at New York Yankees (Friday July 27, 2012)|New York Yankees vs Boston Red Sox [7/27/2012] Tickets at StubHub!|Boston Red Sox at New York Yankees
703128|Los Angeles Angels at New York Yankees (Friday April 13, 2012)|New York Yankees vs Los Angeles Angels [4/13/2012] Tickets at StubHub!|Los Angeles Angels of Anaheim at New York Yankees
703129|Seattle Mariners at New York Yankees (Sunday May 13, 2012)|New York Yankees vs Seattle Mariners [5/13/2012] Tickets at StubHub!|Seattle Mariners at New York Yankees
703130|Boston Red Sox at New York Yankees (Sunday August 19, 2012)|New York Yankees vs Boston Red Sox [8/19/2012] Tickets at StubHub!|Boston Red Sox at New York Yankees
703131|Seattle Mariners at New York Yankees (Saturday August 4, 2012)|New York Yankees vs Seattle Mariners [8/4/2012] Tickets at StubHub!|Seattle Mariners at New York Yankees
703132|Tampa Bay Rays at New York Yankees (Thursday June 7, 2012)|New York Yankees vs Tampa Bay Rays [6/7/2012] Tickets at StubHub!|Tampa Bay Rays at New York Yankees
703986|Boston Red Sox at Baltimore Orioles (Saturday September 29, 2012)|Baltimore Orioles vs Boston Red Sox [9/29/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
703987|New York Yankees at Baltimore Orioles (Saturday September 8, 2012)|Baltimore Orioles vs New York Yankees [9/8/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
703988|Tampa Bay Rays at Baltimore Orioles (Friday May 11, 2012)|Baltimore Orioles vs Tampa Bay Rays [5/11/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
703989|Chicago White Sox at Baltimore Orioles (Wednesday August 29, 2012)|Baltimore Orioles vs Chicago White Sox [8/29/2012] Tickets at StubHub!|Chicago White Sox at Baltimore Orioles
703990|Seattle Mariners at Baltimore Orioles (Monday August 6, 2012)|Baltimore Orioles vs Seattle Mariners [8/6/2012] Tickets at StubHub!|Seattle Mariners at Baltimore Orioles
703992|Tampa Bay Rays at Baltimore Orioles (Wednesday September 12, 2012)|Baltimore Orioles vs Tampa Bay Rays [9/12/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
703993|Boston Red Sox at Baltimore Orioles (Wednesday May 23, 2012)|Baltimore Orioles vs Boston Red Sox [5/23/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
703994|Toronto Blue Jays at Baltimore Orioles (Saturday August 25, 2012)|Baltimore Orioles vs Toronto Blue Jays [8/25/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
703995|Boston Red Sox at Baltimore Orioles (Monday May 21, 2012)|Baltimore Orioles vs Boston Red Sox [5/21/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
703996|Chicago White Sox at Baltimore Orioles (Monday August 27, 2012)|Baltimore Orioles vs Chicago White Sox [8/27/2012] Tickets at StubHub!|Chicago White Sox at Baltimore Orioles
703997|Kansas City Royals at Baltimore Orioles (Sunday August 12, 2012)|Baltimore Orioles vs Kansas City Royals [8/12/2012] Tickets at StubHub!|Kansas City Royals at Baltimore Orioles
703998|Oakland Athletics at Baltimore Orioles (Sunday July 29, 2012)|Baltimore Orioles vs Oakland Athletics [7/29/2012] Tickets at StubHub!|Oakland Athletics at Baltimore Orioles
703999|Boston Red Sox at Baltimore Orioles (Tuesday August 14, 2012)|Baltimore Orioles vs Boston Red Sox [8/14/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
704000|Cleveland Indians at Baltimore Orioles (Friday June 29, 2012)|Baltimore Orioles vs Cleveland Indians [6/29/2012] Tickets at StubHub!|Cleveland Indians at Baltimore Orioles
704001|Philadelphia Phillies at Baltimore Orioles (Sunday June 10, 2012)|Baltimore Orioles vs Philadelphia Phillies [6/10/2012] Tickets at StubHub!|Philadelphia Phillies at Baltimore Orioles
704002|New York Yankees at Baltimore Orioles (Thursday September 6, 2012)|Baltimore Orioles vs New York Yankees [9/6/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
704003|Seattle Mariners at Baltimore Orioles (Wednesday August 8, 2012)|Baltimore Orioles vs Seattle Mariners [8/8/2012] Tickets at StubHub!|Seattle Mariners at Baltimore Orioles
704004|Philadelphia Phillies at Baltimore Orioles (Friday June 8, 2012)|Baltimore Orioles vs Philadelphia Phillies [6/8/2012] Tickets at StubHub!|Philadelphia Phillies at Baltimore Orioles
704005|Kansas City Royals at Baltimore Orioles (Friday August 10, 2012)|Baltimore Orioles vs Kansas City Royals [8/10/2012] Tickets at StubHub!|Kansas City Royals at Baltimore Orioles
704006|Pittsburgh Pirates at Baltimore Orioles (Thursday June 14, 2012)|Baltimore Orioles vs Pittsburgh Pirates [6/14/2012] Tickets at StubHub!|Pittsburgh Pirates at Baltimore Orioles
704007|Toronto Blue Jays at Baltimore Orioles (Wednesday September 26, 2012)|Baltimore Orioles vs Toronto Blue Jays [9/26/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
704008|Detroit Tigers at Baltimore Orioles (Saturday July 14, 2012)|Baltimore Orioles vs Detroit Tigers [7/14/2012] Tickets at StubHub!|Detroit Tigers at Baltimore Orioles
704009|Washington Nationals at Baltimore Orioles (Saturday June 23, 2012)|Baltimore Orioles vs Washington Nationals [6/23/2012] Tickets at StubHub!|Washington Nationals at Baltimore Orioles
704010|Pittsburgh Pirates at Baltimore Orioles (Tuesday June 12, 2012)|Baltimore Orioles vs Pittsburgh Pirates [6/12/2012] Tickets at StubHub!|Pittsburgh Pirates at Baltimore Orioles
704011|Toronto Blue Jays at Baltimore Orioles (Monday September 24, 2012)|Baltimore Orioles vs Toronto Blue Jays [9/24/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
704012|Kansas City Royals at Baltimore Orioles (Sunday May 27, 2012)|Baltimore Orioles vs Kansas City Royals [5/27/2012] Tickets at StubHub!|Kansas City Royals at Baltimore Orioles
704013|New York Yankees at Baltimore Orioles (Monday May 14, 2012)|Baltimore Orioles vs New York Yankees [5/14/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
704014|Boston Red Sox at Baltimore Orioles (Sunday September 30, 2012)|Baltimore Orioles vs Boston Red Sox [9/30/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
704015|Kansas City Royals at Baltimore Orioles (Friday May 25, 2012)|Baltimore Orioles vs Kansas City Royals [5/25/2012] Tickets at StubHub!|Kansas City Royals at Baltimore Orioles
704016|Tampa Bay Rays at Baltimore Orioles (Saturday May 12, 2012)|Baltimore Orioles vs Tampa Bay Rays [5/12/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
704017|Boston Red Sox at Baltimore Orioles (Thursday August 16, 2012)|Baltimore Orioles vs Boston Red Sox [8/16/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
704018|Boston Red Sox at Baltimore Orioles (Friday September 28, 2012)|Baltimore Orioles vs Boston Red Sox [9/28/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
704019|Tampa Bay Rays at Baltimore Orioles (Tuesday September 11, 2012)|Baltimore Orioles vs Tampa Bay Rays [9/11/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
704020|Seattle Mariners at Baltimore Orioles (Tuesday August 7, 2012)|Baltimore Orioles vs Seattle Mariners [8/7/2012] Tickets at StubHub!|Seattle Mariners at Baltimore Orioles
704021|Tampa Bay Rays at Baltimore Orioles (Tuesday July 24, 2012)|Baltimore Orioles vs Tampa Bay Rays [7/24/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
704022|New York Yankees at Baltimore Orioles (Sunday September 9, 2012)|Baltimore Orioles vs New York Yankees [9/9/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
704023|Cleveland Indians at Baltimore Orioles (Sunday July 1, 2012)|Baltimore Orioles vs Cleveland Indians [7/1/2012] Tickets at StubHub!|Cleveland Indians at Baltimore Orioles
704024|Chicago White Sox at Baltimore Orioles (Tuesday August 28, 2012)|Baltimore Orioles vs Chicago White Sox [8/28/2012] Tickets at StubHub!|Chicago White Sox at Baltimore Orioles
704025|Boston Red Sox at Baltimore Orioles (Tuesday May 22, 2012)|Baltimore Orioles vs Boston Red Sox [5/22/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
704026|Chicago White Sox at Baltimore Orioles (Thursday August 30, 2012)|Baltimore Orioles vs Chicago White Sox [8/30/2012] Tickets at StubHub!|Chicago White Sox at Baltimore Orioles
704028|Tampa Bay Rays at Baltimore Orioles (Thursday September 13, 2012)|Baltimore Orioles vs Tampa Bay Rays [9/13/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
704029|Tampa Bay Rays at Baltimore Orioles (Thursday July 26, 2012)|Baltimore Orioles vs Tampa Bay Rays [7/26/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
704030|Toronto Blue Jays at Baltimore Orioles (Friday August 24, 2012)|Baltimore Orioles vs Toronto Blue Jays [8/24/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
704031|Washington Nationals at Baltimore Orioles (Sunday June 24, 2012)|Baltimore Orioles vs Washington Nationals [6/24/2012] Tickets at StubHub!|Washington Nationals at Baltimore Orioles
704032|Tampa Bay Rays at Baltimore Orioles (Wednesday July 25, 2012)|Baltimore Orioles vs Tampa Bay Rays [7/25/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
704033|Oakland Athletics at Baltimore Orioles (Saturday July 28, 2012)|Baltimore Orioles vs Oakland Athletics [7/28/2012] Tickets at StubHub!|Oakland Athletics at Baltimore Orioles
704034|Toronto Blue Jays at Baltimore Orioles (Sunday August 26, 2012)|Baltimore Orioles vs Toronto Blue Jays [8/26/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
704035|Boston Red Sox at Baltimore Orioles (Wednesday August 15, 2012)|Baltimore Orioles vs Boston Red Sox [8/15/2012] Tickets at StubHub!|Boston Red Sox at Baltimore Orioles
704036|Cleveland Indians at Baltimore Orioles (Saturday June 30, 2012)|Baltimore Orioles vs Cleveland Indians [6/30/2012] Tickets at StubHub!|Cleveland Indians at Baltimore Orioles
704037|Kansas City Royals at Baltimore Orioles (Thursday August 9, 2012)|Baltimore Orioles vs Kansas City Royals [8/9/2012] Tickets at StubHub!|Kansas City Royals at Baltimore Orioles
704038|Cleveland Indians at Baltimore Orioles (Thursday June 28, 2012)|Baltimore Orioles vs Cleveland Indians [6/28/2012] Tickets at StubHub!|Cleveland Indians at Baltimore Orioles
704039|Philadelphia Phillies at Baltimore Orioles (Saturday June 9, 2012)|Baltimore Orioles vs Philadelphia Phillies [6/9/2012] Tickets at StubHub!|Philadelphia Phillies at Baltimore Orioles
704040|New York Yankees at Baltimore Orioles (Friday September 7, 2012)|Baltimore Orioles vs New York Yankees [9/7/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
704041|Kansas City Royals at Baltimore Orioles (Saturday August 11, 2012)|Baltimore Orioles vs Kansas City Royals [8/11/2012] Tickets at StubHub!|Kansas City Royals at Baltimore Orioles
704042|Detroit Tigers at Baltimore Orioles (Friday July 13, 2012)|Baltimore Orioles vs Detroit Tigers [7/13/2012] Tickets at StubHub!|Detroit Tigers at Baltimore Orioles
704043|Pittsburgh Pirates at Baltimore Orioles (Wednesday June 13, 2012)|Baltimore Orioles vs Pittsburgh Pirates [6/13/2012] Tickets at StubHub!|Pittsburgh Pirates at Baltimore Orioles
704044|Kansas City Royals at Baltimore Orioles (Saturday May 26, 2012)|Baltimore Orioles vs Kansas City Royals [5/26/2012] Tickets at StubHub!|Kansas City Royals at Baltimore Orioles
704045|Detroit Tigers at Baltimore Orioles (Sunday July 15, 2012)|Baltimore Orioles vs Detroit Tigers [7/15/2012] Tickets at StubHub!|Detroit Tigers at Baltimore Orioles
704046|Washington Nationals at Baltimore Orioles (Friday June 22, 2012)|Baltimore Orioles vs Washington Nationals [6/22/2012] Tickets at StubHub!|Washington Nationals at Baltimore Orioles
704047|Toronto Blue Jays at Baltimore Orioles (Tuesday September 25, 2012)|Baltimore Orioles vs Toronto Blue Jays [9/25/2012] Tickets at StubHub!|Toronto Blue Jays at Baltimore Orioles
704048|New York Yankees at Baltimore Orioles (Tuesday May 15, 2012)|Baltimore Orioles vs New York Yankees [5/15/2012] Tickets at StubHub!|New York Yankees at Baltimore Orioles
704049|Oakland Athletics at Baltimore Orioles (Friday July 27, 2012)|Baltimore Orioles vs Oakland Athletics [7/27/2012] Tickets at StubHub!|Oakland Athletics at Baltimore Orioles
704050|Tampa Bay Rays at Baltimore Orioles (Sunday May 13, 2012)|Baltimore Orioles vs Tampa Bay Rays [5/13/2012] Tickets at StubHub!|Tampa Bay Rays at Baltimore Orioles
704088|Miami Marlins at Washington Nationals (Sat. 9/8/12)|Washington Nationals vs Miami Marlins [9/8/2012] Tickets at StubHub!|Miami Marlins at Washington Nationals
704089|San Francisco Giants at Washington Nationals (Thu. 7/5/12)|Washington Nationals vs San Francisco Giants [7/5/2012] Tickets at StubHub!|San Francisco Giants at Washington Nationals
704090|Colorado Rockies at Washington Nationals (Sun. 7/8/12)|Washington Nationals vs Colorado Rockies [7/8/2012] Tickets at StubHub!|Colorado Rockies at Washington Nationals
704091|Cincinnati Reds at Washington Nationals (Sun. 4/15/12)|Washington Nationals vs Cincinnati Reds [4/15/2012] Tickets at StubHub!|Cincinnati Reds at Washington Nationals
704092|Los Angeles Dodgers at Washington Nationals (Wed. 9/19/12)|Washington Nationals vs Los Angeles Dodgers [9/19/2012] Tickets at StubHub!|Los Angeles Dodgers at Washington Nationals
704093|Colorado Rockies at Washington Nationals (Sat. 7/7/12)|Washington Nationals vs Colorado Rockies [7/7/2012] Tickets at StubHub!|Colorado Rockies at Washington Nationals
704094|St Louis Cardinals at Washington Nationals (Fri. 8/31/12)|Washington Nationals vs St Louis Cardinals [8/31/2012] Tickets at StubHub!|St. Louis Cardinals at Washington Nationals
704095|Houston Astros at Washington Nationals (Tue. 4/17/12)|Washington Nationals vs Houston Astros [4/17/2012] Tickets at StubHub!|Houston Astros at Washington Nationals
704096|New York Mets at Washington Nationals (Wed. 6/6/12)|Washington Nationals vs New York Mets [6/6/2012] Tickets at StubHub!|New York Mets at Washington Nationals
704097|Philadelphia Phillies at Washington Nationals (Thu. 8/2/12)|Washington Nationals vs Philadelphia Phillies [8/2/2012] Tickets at StubHub!|Philadelphia Phillies at Washington Nationals
704098|Houston Astros at Washington Nationals (Thu. 4/19/12)|Washington Nationals vs Houston Astros [4/19/2012] Tickets at StubHub!|Houston Astros at Washington Nationals
704099|Milwaukee Brewers at Washington Nationals (Sun. 9/23/12)|Washington Nationals vs Milwaukee Brewers [9/23/2012] Tickets at StubHub!|Milwaukee Brewers at Washington Nationals
704100|St Louis Cardinals at Washington Nationals (Sun. 9/2/12)|Washington Nationals vs St Louis Cardinals [9/2/2012] Tickets at StubHub!|St. Louis Cardinals at Washington Nationals
704101|Miami Marlins at Washington Nationals (Sat. 4/21/12)|Washington Nationals vs Miami Marlins [4/21/2012] Tickets at StubHub!|Miami Marlins at Washington Nationals
704102|Milwaukee Brewers at Washington Nationals (Fri. 9/21/12)|Washington Nationals vs Milwaukee Brewers [9/21/2012] Tickets at StubHub!|Milwaukee Brewers at Washington Nationals
704103|Baltimore Orioles at Washington Nationals (Sat. 5/19/12)|Washington Nationals vs Baltimore Orioles [5/19/2012] Tickets at StubHub!|Baltimore Orioles at Washington Nationals
704104|Philadelphia Phillies at Washington Nationals (Sun. 5/6/12)|Washington Nationals vs Philadelphia Phillies [5/6/2012] Tickets at StubHub!|Philadelphia Phillies at Washington Nationals
704105|New York Mets at Washington Nationals (Tue. 6/5/12)|Washington Nationals vs New York Mets [6/5/2012] Tickets at StubHub!|New York Mets at Washington Nationals
704106|Pittsburgh Pirates at Washington Nationals (Thu. 5/17/12)|Washington Nationals vs Pittsburgh Pirates [5/17/2012] Tickets at StubHub!|Pittsburgh Pirates at Washington Nationals
704107|Philadelphia Phillies at Washington Nationals (Fri. 5/4/12)|Washington Nationals vs Philadelphia Phillies [5/4/2012] Tickets at StubHub!|Philadelphia Phillies at Washington Nationals
704108|Tampa Bay Rays at Washington Nationals (Tue. 6/19/12)|Washington Nationals vs Tampa Bay Rays [6/19/2012] Tickets at StubHub!|Tampa Bay Rays at Washington Nationals
704109|Chicago Cubs at Washington Nationals (Tue. 9/4/12)|Washington Nationals vs Chicago Cubs [9/4/2012] Tickets at StubHub!|Chicago Cubs at Washington Nationals
704110|New York Mets at Washington Nationals (Tue. 7/17/12)|Washington Nationals vs New York Mets [7/17/2012] Tickets at StubHub!|New York Mets at Washington Nationals
704111|Arizona Diamondbacks at Washington Nationals (Wed. 5/2/12)|Washington Nationals vs Arizona Diamondbacks [5/2/2012] Tickets at StubHub!|Arizona Diamondbacks at Washington Nationals
704112|New York Yankees at Washington Nationals (Sun. 6/17/12)|Washington Nationals vs New York Yankees [6/17/2012] Tickets at StubHub!|New York Yankees at Washington Nationals
704113|New York Mets at Washington Nationals (Thu. 7/19/12)|Washington Nationals vs New York Mets [7/19/2012] Tickets at StubHub!|New York Mets at Washington Nationals
704114|Atlanta Braves at Washington Nationals (Mon. 8/20/12)|Washington Nationals vs Atlanta Braves [8/20/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704115|Milwaukee Brewers at Washington Nationals (Mon. 9/24/12)|Washington Nationals vs Milwaukee Brewers [9/24/2012] Tickets at StubHub!|Milwaukee Brewers at Washington Nationals
704116|Atlanta Braves at Washington Nationals (Sat. 7/21/12)|Washington Nationals vs Atlanta Braves [7/21/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704117|San Diego Padres at Washington Nationals (Mon. 5/14/12)|Washington Nationals vs San Diego Padres [5/14/2012] Tickets at StubHub!|San Diego Padres at Washington Nationals
704118|Atlanta Braves at Washington Nationals (Wed. 8/22/12)|Washington Nationals vs Atlanta Braves [8/22/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704119|Tampa Bay Rays at Washington Nationals (Thu. 6/21/12)|Washington Nationals vs Tampa Bay Rays [6/21/2012] Tickets at StubHub!|Tampa Bay Rays at Washington Nationals
704120|Atlanta Braves at Washington Nationals (Sat. 6/2/12)|Washington Nationals vs Atlanta Braves [6/2/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704121|Chicago Cubs at Washington Nationals (Thu. 9/6/12)|Washington Nationals vs Chicago Cubs [9/6/2012] Tickets at StubHub!|Chicago Cubs at Washington Nationals
704122|Miami Marlins at Washington Nationals (Sun. 8/5/12)|Washington Nationals vs Miami Marlins [8/5/2012] Tickets at StubHub!|Miami Marlins at Washington Nationals
704123|San Francisco Giants at Washington Nationals (Wed. 7/4/12)|Washington Nationals vs San Francisco Giants [7/4/2012] Tickets at StubHub!|San Francisco Giants at Washington Nationals
704124|New York Mets at Washington Nationals (Sat. 8/18/12)|Washington Nationals vs New York Mets [8/18/2012] Tickets at StubHub!|New York Mets at Washington Nationals
704125|Philadelphia Phillies at Washington Nationals (Tue. 7/31/12)|Washington Nationals vs Philadelphia Phillies [7/31/2012] Tickets at StubHub!|Philadelphia Phillies at Washington Nationals
704126|Cincinnati Reds at Washington Nationals (Thu. 4/12/12)|Washington Nationals vs Cincinnati Reds [4/12/2012] Tickets at StubHub!|Cincinnati Reds at Washington Nationals
704127|Los Angeles Dodgers at Washington Nationals (Tue. 9/18/12)|Washington Nationals vs Los Angeles Dodgers [9/18/2012] Tickets at StubHub!|Los Angeles Dodgers at Washington Nationals
704128|Miami Marlins at Washington Nationals (Sun. 9/9/12)|Washington Nationals vs Miami Marlins [9/9/2012] Tickets at StubHub!|Miami Marlins at Washington Nationals
704129|Colorado Rockies at Washington Nationals (Fri. 7/6/12)|Washington Nationals vs Colorado Rockies [7/6/2012] Tickets at StubHub!|Colorado Rockies at Washington Nationals
704130|Philadelphia Phillies at Washington Nationals (Wed. 8/1/12)|Washington Nationals vs Philadelphia Phillies [8/1/2012] Tickets at StubHub!|Philadelphia Phillies at Washington Nationals
704131|Cincinnati Reds at Washington Nationals (Sat. 4/14/12)|Washington Nationals vs Cincinnati Reds [4/14/2012] Tickets at StubHub!|Cincinnati Reds at Washington Nationals
704132|St Louis Cardinals at Washington Nationals (Thu. 8/30/12)|Washington Nationals vs St Louis Cardinals [8/30/2012] Tickets at StubHub!|St. Louis Cardinals at Washington Nationals
704133|Miami Marlins at Washington Nationals (Fri. 8/3/12)|Washington Nationals vs Miami Marlins [8/3/2012] Tickets at StubHub!|Miami Marlins at Washington Nationals
704134|Houston Astros at Washington Nationals (Mon. 4/16/12)|Washington Nationals vs Houston Astros [4/16/2012] Tickets at StubHub!|Houston Astros at Washington Nationals
704135|Milwaukee Brewers at Washington Nationals (Sat. 9/22/12)|Washington Nationals vs Milwaukee Brewers [9/22/2012] Tickets at StubHub!|Milwaukee Brewers at Washington Nationals
704136|Baltimore Orioles at Washington Nationals (Sun. 5/20/12)|Washington Nationals vs Baltimore Orioles [5/20/2012] Tickets at StubHub!|Baltimore Orioles at Washington Nationals
704137|Houston Astros at Washington Nationals (Wed. 4/18/12)|Washington Nationals vs Houston Astros [4/18/2012] Tickets at StubHub!|Houston Astros at Washington Nationals
704138|Los Angeles Dodgers at Washington Nationals (Thu. 9/20/12)|Washington Nationals vs Los Angeles Dodgers [9/20/2012] Tickets at StubHub!|Los Angeles Dodgers at Washington Nationals
704139|Chicago Cubs at Washington Nationals (Mon. 9/3/12)|Washington Nationals vs Chicago Cubs [9/3/2012] Tickets at StubHub!|Chicago Cubs at Washington Nationals
704140|Baltimore Orioles at Washington Nationals (Fri. 5/18/12)|Washington Nationals vs Baltimore Orioles [5/18/2012] Tickets at StubHub!|Baltimore Orioles at Washington Nationals
704141|Miami Marlins at Washington Nationals (Fri. 4/20/12)|Washington Nationals vs Miami Marlins [4/20/2012] Tickets at StubHub!|Miami Marlins at Washington Nationals
704142|St Louis Cardinals at Washington Nationals (Sat. 9/1/12)|Washington Nationals vs St Louis Cardinals [9/1/2012] Tickets at StubHub!|St. Louis Cardinals at Washington Nationals
704143|Pittsburgh Pirates at Washington Nationals (Wed. 5/16/12)|Washington Nationals vs Pittsburgh Pirates [5/16/2012] Tickets at StubHub!|Pittsburgh Pirates at Washington Nationals
704144|Miami Marlins at Washington Nationals (Sun. 4/22/12)|Washington Nationals vs Miami Marlins [4/22/2012] Tickets at StubHub!|Miami Marlins at Washington Nationals
704145|Miami Marlins at Washington Nationals (Fri. 9/7/12)|Washington Nationals vs Miami Marlins [9/7/2012] Tickets at StubHub!|Miami Marlins at Washington Nationals
704146|Philadelphia Phillies at Washington Nationals (Sat. 5/5/12)|Washington Nationals vs Philadelphia Phillies [5/5/2012] Tickets at StubHub!|Philadelphia Phillies at Washington Nationals
704147|New York Yankees at Washington Nationals (Fri. 6/15/12)|Washington Nationals vs New York Yankees [6/15/2012] Tickets at StubHub!|New York Yankees at Washington Nationals
704148|Chicago Cubs at Washington Nationals (Wed. 9/5/12)|Washington Nationals vs Chicago Cubs [9/5/2012] Tickets at StubHub!|Chicago Cubs at Washington Nationals
704149|New York Mets at Washington Nationals (Wed. 7/18/12)|Washington Nationals vs New York Mets [7/18/2012] Tickets at StubHub!|New York Mets at Washington Nationals
704150|Arizona Diamondbacks at Washington Nationals (Thu. 5/3/12)|Washington Nationals vs Arizona Diamondbacks [5/3/2012] Tickets at StubHub!|Arizona Diamondbacks at Washington Nationals
704151|Atlanta Braves at Washington Nationals (Tue. 8/21/12)|Washington Nationals vs Atlanta Braves [8/21/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704152|New York Yankees at Washington Nationals (Sat. 6/16/12)|Washington Nationals vs New York Yankees [6/16/2012] Tickets at StubHub!|New York Yankees at Washington Nationals
704153|Atlanta Braves at Washington Nationals (Fri. 7/20/12)|Washington Nationals vs Atlanta Braves [7/20/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704154|Arizona Diamondbacks at Washington Nationals (Tue. 5/1/12)|Washington Nationals vs Arizona Diamondbacks [5/1/2012] Tickets at StubHub!|Arizona Diamondbacks at Washington Nationals
704155|Atlanta Braves at Washington Nationals (Sun. 6/3/12)|Washington Nationals vs Atlanta Braves [6/3/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704156|Atlanta Braves at Washington Nationals (Sun. 7/22/12)|Washington Nationals vs Atlanta Braves [7/22/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704157|San Diego Padres at Washington Nationals (Tue. 5/15/12)|Washington Nationals vs San Diego Padres [5/15/2012] Tickets at StubHub!|San Diego Padres at Washington Nationals
704158|New York Mets at Washington Nationals (Fri. 8/17/12)|Washington Nationals vs New York Mets [8/17/2012] Tickets at StubHub!|New York Mets at Washington Nationals
704159|Tampa Bay Rays at Washington Nationals (Wed. 6/20/12)|Washington Nationals vs Tampa Bay Rays [6/20/2012] Tickets at StubHub!|Tampa Bay Rays at Washington Nationals
704160|Atlanta Braves at Washington Nationals (Fri. 6/1/12)|Washington Nationals vs Atlanta Braves [6/1/2012] Tickets at StubHub!|Atlanta Braves at Washington Nationals
704161|New York Mets at Washington Nationals (Thu. 6/7/12)|Washington Nationals vs New York Mets [6/7/2012] Tickets at StubHub!|New York Mets at Washington Nationals
704162|San Francisco Giants at Washington Nationals (Tue. 7/3/12)|Washington Nationals vs San Francisco Giants [7/3/2012] Tickets at StubHub!|San Francisco Giants at Washington Nationals
